Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,193939955.9510885,193939955.9510885 
 01/01  02:00:00,169412929.96107322,169412929.96107322 
 01/01  03:00:00,171820217.7577835,171820217.75778353 
 01/01  04:00:00,154174108.24848834,154174108.24848837 
 01/01  05:00:00,194203303.2219435,194203303.2219435 
 01/01  06:00:00,170998244.7325556,170998244.7325556 
 01/01  07:00:00,183399354.08180857,183399354.0818085 
 01/01  08:00:00,152671719.07879454,151348719.07555747 
 01/01  09:00:00,136086359.84591338,124070717.00273278 
 01/01  10:00:00,104203857.34924275,78350205.70526986 
 01/01  11:00:00,104121859.87337412,70872217.99346593 
 01/01  12:00:00,91981345.14520681,61315837.64309604 
 01/01  13:00:00,101642790.7862055,67545676.83006266 
 01/01  14:00:00,95882472.12339717,83010899.81484751 
 01/01  15:00:00,103797538.54882339,86260574.8703495 
 01/01  16:00:00,102198171.83222574,95405563.85202833 
 01/01  17:00:00,144671622.53247902,144152575.5662572 
 01/01  18:00:00,157209346.2977328,157209346.2977328 
 01/01  19:00:00,210195143.85347,210195143.85347 
 01/01  20:00:00,178433966.37776598,178433966.37776598 
 01/01  21:00:00,229392431.25476378,229392431.25476378 
 01/01  22:00:00,189698475.60705262,189698475.6070526 
 01/01  23:00:00,233124795.4005385,233124795.4005385 
 01/01  24:00:00,208981676.53580174,208981676.53580177 
 01/02  01:00:00,256572315.29178667,256572315.29178667 
 01/02  02:00:00,203007459.69094968,203007459.6909497 
 01/02  03:00:00,216431693.51787362,216431693.5178736 
 01/02  04:00:00,185074479.48906678,185074479.48906678 
 01/02  05:00:00,224625219.58804107,224625219.58804107 
 01/02  06:00:00,404036824.4821919,404036824.4821919 
 01/02  07:00:00,806355851.4150702,806355851.4150703 
 01/02  08:00:00,840171194.7297107,838255551.6999124 
 01/02  09:00:00,735529620.8633224,721773536.8593919 
 01/02  10:00:00,638005479.8269955,616522463.8006566 
 01/02  11:00:00,547913781.4877536,515812240.6355505 
 01/02  12:00:00,493221295.6866722,455586778.5707725 
 01/02  13:00:00,496880481.64817417,463703756.67816633 
 01/02  14:00:00,453518052.5722391,431764263.86193395 
 01/02  15:00:00,449845150.49358463,439897183.2889933 
 01/02  16:00:00,438073103.90458083,431708720.9537361 
 01/02  17:00:00,453809272.3788101,453288412.0383414 
 01/02  18:00:00,476366713.5891135,476366713.5891134 
 01/02  19:00:00,470854291.0498817,470854291.0498817 
 01/02  20:00:00,448461537.0232599,448461537.0232599 
 01/02  21:00:00,437294546.18505424,437294546.1850543 
 01/02  22:00:00,429703638.5388365,429703638.53883636 
 01/02  23:00:00,75193223.90247798,75193223.90247798 
 01/02  24:00:00,71656468.08834744,71656468.08834744 
 01/03  01:00:00,58379131.21819277,58379131.21819277 
 01/03  02:00:00,64370294.6411323,64370294.64113231 
 01/03  03:00:00,64581734.277224645,64581734.277224645 
 01/03  04:00:00,69969829.1110978,69969829.1110978 
 01/03  05:00:00,72048635.71232887,72048635.71232887 
