Date/Time,Original,Measure 3 modified
 01/21  01:00:00,6248675.875,6248926.837
 01/21  02:00:00,6508800.148,6509062.796
 01/21  03:00:00,6790427.103,6790700.17
 01/21  04:00:00,7217115.495,7217405.807
 01/21  05:00:00,7400383.578,7400661.803
 01/21  06:00:00,7271223.437,7271493.606
 01/21  07:00:00,7170409.662,7170675.985
 01/21  08:00:00,6870911.734,6871162.005
 01/21  09:00:00,6066452.894,6066819.544
 01/21  10:00:00,5473768.349,5474066.388
 01/21  11:00:00,3733931.828,3734115.102
 01/21  12:00:00,2125602.954,2125700.343
 01/21  13:00:00,2085586.559,2085629.569
 01/21  14:00:00,2313261.876,2313314.147
 01/21  15:00:00,2358573.451,2358628.732
 01/21  16:00:00,2459534.466,2459592.053
 01/21  17:00:00,2440959.552,2441021.091
 01/21  18:00:00,2424596.394,2424660.904
 01/21  19:00:00,2384037.774,2384105.988
 01/21  20:00:00,2413857.801,2413927.036
 01/21  21:00:00,2413075.88,2413146.859
 01/21  22:00:00,2504468.08,2504542.525
 01/21  23:00:00,2739608.046,2739682.817
 01/21  24:00:00,2983329.763,2983405.985
